question,options,answer,isMultiChoice,count
1.IALA的汉语全称是( ),"A.国际航标组织,B.国际航标协会,C.国际海事协会,D.国际海事组织",B,0,4
2.国际航标协会（IALA）是一个非政府、非获利的技术团体，成立于( )年。,"A.1956,B.1957,C.1958,D.1959",B,0,4
3.国际航标协会（IALA）是一个非政府的、非获利的技术团体，成立于1957年，为来自于世界各地区的航标主管机关、生产厂商和咨询机构提供一个框架，共同致力于：( ),"A.①③,B.①③④,C.②③④,D.③④",B,0,4
4.IALA关于节奏光有效光强的计算，其建议对闪光速度在300次每分以内的闪光灯，其有效光强用( )计算。,"A.Schmidt-Clausen法	,B.Allard法,C.Blondel-Rey-Douglas法,D.Talbot定律",A,0,4
5.国际航标协会系统中提供的灯光颜色有红黄绿白四种颜色，其中只用于专用标志的是( ),"A.黄色,B.红色,C.白色,D.绿色",A,0,4
6.雷达的工作波段中X波段又称为( ),"A.3厘米波段,B.6厘米波段,C.9厘米波段,D.10厘米波段",A,0,4
7.任何雷达信标用于临时的海图未标出的建筑时应使用代码( ),"A.D,B.U,C.Y,D.Z",A,0,4
8.慢扫描频率上应答的雷达应答器，其发射器连续地扫描某一雷达的整个波段，当被询问时触发并反馈信号的雷达应答器，信号更新速度为( )秒。,"A.40-120,B.50-130,C.60-150,D.70-160",C,0,4
9.全球航行警告服务系统由IMO和IHO于1977年联合建立，共有___个航行警告区。( ),"A.16,B.17,C.18,D.19",A,0,4
10.IALA已经采纳了把( )的对比度值作为气象光学视距测量的基础。,"A.0.02,B.0.03,C.0.04,D.0.05",D,0,4
11.IALA关于海上建筑物标示的建议不适用于( ),"A.石油平台,B.海洋信息平台,C.灯桩,D.石油钻井保护套管",C,0,4
12.当桥梁整个跨度下的水道都是可航行的，则日间标志应安装在( ),"A.横梁上面,B.横梁下面,C.桥墩上,D.横梁上面或下面",C,0,4
13.当桥梁只有部分跨度下可以航行，则日间标志应设在( ),"A.横梁上面,B.横梁下面,C.桥墩上,D.横梁上面或下面",D,0,4
14.SOLAS公约第Ⅴ章叙述的内容是关于( )：,"A.救生设备与装置,B.无线电通信设备,C.航行安全,D.高速船安全措施",C,0,4
15.IMO海上航行安全委员会第73次会议通过了全面修订的SOLAS第Ⅴ章航行安全，它于( )生效。,"A.2000年12月1日,B.2001年12月1日,C.2002年7月1日,D.2003年7月1日",C,0,4
16.SOLAS公约从2002年7月起适用于( )总吨以上的各类船舶。,"A.200,B.300,C.400,D.500",B,0,4
17.航标灯光超快闪节奏不应该超过( )闪/分钟，因为在某些环境下更快的节奏将使灯光看起来像是定光。,"A.200,B.250,C.300,D.350",C,0,4
18.IALA建议等明暗光航标灯节奏闪光的周期最大不能超过( )秒。,"A.12,B.15,C.20,D.30",A,0,4
19.国际航标协会理事会于( )年成立了IALA保护历史文物灯塔、航标和相关设备的顾问组。,"A.1995,B.1996,C.1997,D.1998",B,0,4
20.IALA于( )年用英文、法文、德文和西班牙文出版了《世界灯塔》。,"A.1996,B.1997,C.1998,D.1999",C,0,4
21.国际航标协会（IALA）由理事会（Council）管理，理事会由（）名选举产生的理事和（）名非选举产生的理事组成。( ),"A.20，2,B.22,2,C.20,3,D.22，3",B,0,4
22.下列不属于IALA出版物的是( ),"A.IALA标准,B.IALA建议,C.IALA指南,D.IALA手册",A,0,4
23.下列IALA组织架构中，属于常设总部机构的是( ),"A.法律咨询小组,B.引航当局论坛,C.世界学院,D.e-航海委员会",C,0,4
24.下列IALA建议中，编号正确的是( ),"A.R-###代表与遗产事宜相关的建议,B.E-###代表与e航海事宜相关的建议,C.O-###代表与工程和环境事宜相关的建议,D.A-###代表与AIS事宜相关的建议",D,0,4
25.下列英文缩写与中文名称对应一致的是( ),"A.ENG---航标需求与管理委员会,B.ARM---航标工程与可持续发展委员会,C.PIANC---国际航运协会,D.IEC---国际电信联盟",C,0,4
26.海事服务集（MSP）的开发应考虑IHO( )标准的使用，以实现船岸的协调、现代化、集成和简化。,"A.S-57,B.S-100,C.S-200,D.S-300",B,0,4
27.以下性能指标中含义为一个航标或航标系统在任何随机选定的时间段上执行规定功能的概率的是( ),"A.完整性,B.连续性,C.可靠性,D.可用性",D,0,4
28.IALA《航标可用性和可靠性指南（1989年）》建议一类航标的可用性要超过( ),"A.0.998,B.0.99,C.0.97,D.0.996",A,0,4
29.IALA《航标可用性和可靠性指南（1989年）》建议二类航标的可用性要超过( ),"A.0.998,B.0.99,C.0.97,D.0.996",B,0,4
30.IALA《航标可用性和可靠性指南（1989年）》建议无线电航标的可用性要超过( ),"A.0.998,B.0.99,C.0.97,D.0.996",D,0,4
31.环绕建筑（建筑不超过20米）外部水平空间距离每相隔不少于( )米就应该有不少于50平方毫米的垂直向下的避雷针。,"A.5,B.10,C.20,D.25",C,0,4
32.LED灯大约( )的能量以光的形式发射出来。,"A.50％,B.40％,C.30％,D.15％",D,0,4
33.扇形灯被用于导标来标示一条安全的航道时，建议在离导标灯最近的航道终点处，白色扇区的宽度应至少是希望使用该灯光的最大船舶的船体宽度的( )倍。,"A.1.5,B.2,C.2.5,D.3",B,0,4
34.以下几种扇形灯中最大扇区宽度最大的是( ),"A.点光源,B.投射式,C.狭缝式,D.激光",A,0,4
35.以下几种扇形灯中典型的最小扇区宽度最小的是( ),"A.点光源,B.投射式,C.狭缝式,D.激光",B,0,4
36.航行安全信息的发布是通过全球航行警告服务系统来协调的，该系统由( )建立。,"A.国际海事组织,B.国际海道测量组织,C.国际海事组织和国际海道测量组织,D.国际航标协会",C,0,4
7.下列哪项属于浮动标志？( )（航标术语3.1.6）,"A.灯塔,B.兰比,C.灯桩,D.立标",B,0,4
9.通航桥孔跨度较小时且已经设置( )，经过安全评估后，可不设通航桥孔左右侧标志。（中国海区可航行水域桥梁助航标志7.5）,"A.通航桥孔最佳通过点标志,B.通航桥孔左侧标志,C.桥孔禁航标志,D.桥墩警示标志",D,0,4
10.通航5000吨级及以上船舶的通航桥孔，其视觉航标灯光射程应不小于( )。（中国海区可航行水域桥梁助航标志7.7）,"A.0.5nmile,B.2nmile,C.3nmile,D.4nmile",(C),1,4
12.右侧灯浮标：标体绿色、( )或装有顶标的柱形或杆形，顶标为单个绿色锥形，锥顶向上。(中国海区水上助航标志4.22),"A.罐形,B.锥形,C.鼓形,D.方形",B,0,4
13.应急沉船示位标表面是等分的蓝黄垂直条纹，最少个条纹最多个条纹。( )(海区应急沉船示位标管理规则),"A.2.4,B.4.6,C.4.8,D.3.6",C,0,4
14.北方位标：设在危险物或危险区的( )方，标体为上黑下黄装有顶标的柱形，顶标为上下垂直的两个黑色锥形，锥顶均向上，灯质为连续甚快闪白光或连连续快闪白光。(中国海区水上助航标志5.1),"A.北,B.东南,C.西南,D.西",A,0,4
